Parameter,Parameter Group,Project Id,Measure Qualifier Code,Result Comment,Sample Date,Result Measure Value,Sample Id,Station Id,Result Measure Unit,USGS P Code
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,8/19/1949,1.8,nwisaz.01.94900443,USGS-363805109594501,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,8/30/1949,2,nwisaz.01.94900453,USGS-365650109191901,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,8/17/1949,2.2,nwisaz.01.94900451,USGS-365040109504501,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,7/28/1949,4,nwisaz.01.94900434,USGS-362443109522801,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,7/19/1949,5.5,nwisaz.01.94900420,USGS-360708109344701,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,7/19/1949,5.5,nwisaz.01.94900425,USGS-361327109340001,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,7/22/1949,8.8,nwisaz.01.94900439,USGS-363042109282001,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,7/18/1949,10,nwisaz.01.94900426,USGS-361600109360001,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,7/22/1949,11,nwisaz.01.94900438,USGS-363040109282001,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,8/1/1949,12,nwisaz.01.94900430,USGS-362116109370301,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,8/3/1949,13,nwisaz.01.94900440,USGS-363103109445201,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/22/1947,14,nwisco.01.94700119,USGS-09251000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,8/3/1949,15,nwisaz.01.94900444,USGS-363818109343401,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,2/25/1948,16,nwisaz.01.94800505,USGS-360840111200501,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,8/3/1949,17,nwisaz.01.94900447,USGS-364255109375001,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,8/3/1949,17,nwisaz.01.94900448,USGS-364306109374701,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,1/29/1948,18,nwisaz.01.94800509,USGS-362116109370301,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,8/30/1949,20,nwisaz.01.94900457,USGS-365947109220001,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,8/4/1949,21,nwisaz.01.94900446,USGS-364248109514601,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,2/12/1948,22,nwisaz.01.94800511,USGS-364344110151201,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,9/28/1949,23,nwisaz.01.94900408,USGS-354734110590501,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,7/19/1949,23,nwisaz.01.94900412,USGS-355353109390801,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,11/10/1948,23,nwisaz.01.94900456,USGS-365831110134901,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,7/27/1949,24,nwisaz.01.94900416,USGS-355930109270501,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,2/26/1948,24,nwisaz.01.94800504,USGS-360833111141201,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,9/28/1949,29,nwisaz.01.94900414,USGS-355658111040201,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,7/27/1949,30,nwisaz.01.94900418,USGS-360141109381501,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,7/11/1949,32,nwisaz.01.94900410,USGS-354902109370401,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,8/3/1949,32,nwisaz.01.94900449,USGS-364552109315901,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/11/1942,34,nwisaz.01.94200024,USGS-09402500,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/11/1929,35,nwisaz.01.92900026,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/11/1944,35,nwisaz.01.94400027,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,4/30/1926,35,nwisaz.01.92600040,USGS-09402500,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/13/1926,36,nwisaz.01.92600007,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/11/1929,36,nwisaz.01.92900062,USGS-09402500,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/18/1948,36,nwisaz.01.94800512,USGS-364347110145901,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/1/1934,36,nwisco.01.93400016,USGS-09095500,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/1/1944,37,nwisaz.01.94400026,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/21/1944,37,nwisaz.01.94400028,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/1/1926,37,nwisaz.01.92600045,USGS-09402500,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/11/1926,37,nwisaz.01.92600046,USGS-09402500,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/21/1942,37,nwisaz.01.94200025,USGS-09402500,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,8/19/1949,37,nwisaz.01.94900411,USGS-355227111244801,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,9/19/1947,37,nwisco.01.94700116,USGS-09247500,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,3/19/1947,37,nwisco.01.94700117,USGS-09249500,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/1/1926,38,nwisaz.01.92600005,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,5/21/1929,38,nwisaz.01.92900024,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/1/1942,38,nwisaz.01.94200023,USGS-09402500,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,3/31/1949,38,nwisaz.01.94900452,USGS-365408109061301,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/20/1926,39,nwisaz.01.92600008,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/1/1927,39,nwisaz.01.92700011,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/11/1948,39,nwisco.01.94800271,USGS-09179500,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/8/1948,39,nwisco.01.94800283,USGS-09306300,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/4/1927,40,nwisaz.01.92700012,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/21/1929,40,nwisaz.01.92900027,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,5/3/1943,40,nwisaz.01.94300019,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/11/1943,40,nwisaz.01.94300023,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,6/21/1943,40,nwisaz.01.94300024,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,<Null>,<Null>,7/1/1943,40,nwisaz.01.94300025,USGS-09380000,mg/l,915
